TimeStamp (s),GlbAccX (m/s^2),GlbAccY (m/s^2),GlbAccZ (m/s^2),GlbVelX (m/s),GlbVelY (m/s),GlbVelZ (m/s),GlbPosX (m),GlbPosY (m),GlbPosZ (m)
0.0,-0.00040542594523724763,0.0007119283345305719,-0.0014069327778986611,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-0.003150675657947102,0.0013842478233767252,-0.010631843942196286,-1.7780508015921748e-05,1.0480880789536485e-05,-6.019388360047474e-05,-8.890254007960875e-08,5.240440394768243e-08,-3.0096941800237374e-07
0.02,-0.0001675161998930925,0.004166367973842495,-0.0016159917936767994,-3.4371467305122726e-05,3.8233959775632584e-05,-0.00012143306227984018,-3.4966241668483117e-07,2.959786067735278e-07,-1.2091041474039484e-06
0.03,3.5771475813493884e-05,0.001879822175377461,0.00967380632278403,-3.5030190925520716e-05,6.846491052173235e-05,-8.114398963430404e-05,-6.966707078380482e-07,8.294729582603523e-07,-2.2219894069746693e-06
0.04,0.005002362284218094,0.008505613897089051,0.004740474147648498,-9.83952212536277e-06,0.00012039209088406492,-9.072587282141385e-06,-9.210192730924657e-07,1.7737579652893388e-06,-2.6730722915568965e-06
0.05,0.006118744309846795,-0.005266126679848197,-0.00039477056152947896,4.576601084496168e-05,0.00013658952697026918,1.2655930648453714e-05,-7.413868294944711e-07,3.0586660545610093e-06,-2.6551555747253346e-06
0.06,0.005643620736654599,-0.008193450132385904,-0.027049517520376633,0.00010457783607746862,6.929164290909872e-05,-0.00012456550976107679,1.0332405117679931e-08,4.088071903957849e-06,-3.21470347028845e-06
0.07,0.009934943794207882,-0.01030766409038132,-0.031010441680083475,0.0001824706587317811,-2.3213928204737487e-05,-0.00041486530576337755,1.44557487916393e-06,4.318460477479655e-06,-5.911857547910723e-06
0.08,-0.003004076912036696,-0.0020437084505116263,-0.0011634890157318591,0.000217124993142637,-8.497079090920219e-05,-0.0005757349592424542,3.4435531385360194e-06,3.777536881909957e-06,-1.086485887293988e-05
0.09,-0.0039961311982059855,-0.008477939711260388,-0.003412735406377263,0.00018212395259142362,-0.00013757903171806224,-0.0005986160813529998,5.439797867206321e-06,2.6647877687736354e-06,-1.6736614075917147e-05
