TimeStamp (s),GlbAccX (m/s^2),GlbAccY (m/s^2),GlbAccZ (m/s^2),GlbVelX (m/s),GlbVelY (m/s),GlbVelZ (m/s),GlbPosX (m),GlbPosY (m),GlbPosZ (m)
47.4,-0.006387428149417952,-0.007948313521806014,0.034407237622846594,3.348905951598268,-0.22481714035667388,1.600272939406333,82.33633373626535,-2.075928472622279,32.17170883069136
47.41,0.012871250812559258,0.004346650608846698,0.028877335298415716,3.3489383707115836,-0.2248351486712387,1.6005893622709393,82.36982295787689,-2.078176734067418,32.18771314219974
47.42,0.014955014337899525,-0.004453794753892002,0.06174196094070087,3.349077502037336,-0.2248356843919639,1.601042458752135,82.40331303724065,-2.0804250882327353,32.20372130130487
47.43,0.00785276964168924,0.004643466677440289,0.042676850668793315,3.349191540957234,-0.22483473603234616,1.6015645528101823,82.43680438245562,-2.0826734403348564,32.21973433636268
47.44,0.00399967779138843,-0.002627429938047256,0.029838266901342468,3.3492508031943995,-0.2248246558486492,1.601927128398033,82.47029659417638,-2.084921737294261,32.23575179476872
47.45,0.009792849292378777,-0.015348996421952546,0.0554879302878228,3.349319765829818,-0.22491453798044925,1.602353759383979,82.50378944702152,-2.0871704332634073,32.25177319920763
47.46,0.006796846654221454,-0.009784767783142068,0.038475800995665194,3.349402714309551,-0.22504020680147468,1.6028235780403963,82.53728305942221,-2.0894202069873167,32.26779908589475
47.47,0.001447666749316262,0.0029458491160098445,0.0238878291037499,3.3494439368765687,-0.22507440139481033,1.6031353961908934,82.57077729267813,-2.0916707800282976,32.2838288807659
47.48,-0.0030196672482147757,-0.012397820479497128,0.045434167523978976,3.349436076874074,-0.22512166125162775,1.603482006174032,82.60427169274688,-2.093921760341529,32.29986196777772
47.49,-0.006214679255388518,-0.004523208906396788,0.03650180188805112,3.349389905141556,-0.22520626639855726,1.6038916860210923,82.63776582265697,-2.096173399979781,32.31589883623871
47.5,-0.0021194316402400218,0.0024019366334003148,0.020330744115033696,3.3493482345870778,-0.22521687275992225,1.6041758487511077,82.67125951335561,-2.098425515675573,32.331939173912566
47.51,-0.002829576438242571,-0.015100726813146125,0.046028076324863,3.3493234895466855,-0.22528036671082097,1.6045076428533072,82.70475287197627,-2.1006780018729265,32.34798259137059
47.52,-0.009834990524421204,-0.0075655811904192525,0.04191379418114322,3.349260166711872,-0.22539369825083885,1.6049473522058375,82.73824579025758,-2.102931372197736,32.364029866345895
47.53,-0.013973555834006583,-0.0030758360627019567,0.02132412939319564,3.34914112398008,-0.22544690533710446,1.6052635418237091,82.77173779671104,-2.105185575215675,32.38008092081604
47.54,0.006753812069377375,-0.005106722782471563,0.04656319716584543,3.349105025261257,-0.22548781813133031,1.6056029784565042,82.80522902745723,-2.107440248833017,32.39613525341744
47.55,0.0031646346735311978,-0.008331350681399362,0.040307394661252986,3.3491546174949716,-0.22555500849864965,1.6060373314156395,82.838720325671,-2.109695462966166,32.4121934549668
47.56,0.003475381699700494,0.00850491198045119,0.017005991763933387,3.349187817576838,-0.2255541406921544,1.6063238983477657,82.87221203784638,-2.111951008712121,32.42825526111562
47.57,0.005909982625816879,-0.003693408794040359,0.04388022243955384,3.3492347443984656,-0.22553008317622236,1.606628329418783,82.90570415065625,-2.1142064298314627,32.44432002225445
47.58,0.01327152672404469,-0.014255400773521203,0.04619109451890162,3.349330651945215,-0.22561982722406015,1.6070786860035753,82.93919697763796,-2.1164621793834635,32.46038855733156
47.59,0.001884840662551846,0.003650839804324222,0.017009456668418778,3.349406433782148,-0.22567285002890616,1.607394688759512,82.97269066306662,-2.1187186427697293,32.476460924205384
47.6,0.011721193807316191,-0.008401860833127979,0.03933488121654347,3.3494744639544973,-0.22569660513405018,1.607676410448937,83.0061850675553,-2.1209754900455438,32.492536279701426
47.61,0.009368618538715645,-0.01475846781465394,0.05459661739811121,3.3495799130162274,-0.22581240677728906,1.60814606794201,83.03968033944014,-2.1232330351051,32.508615392093375
47.62,0.0031801098260289605,0.0019543220732064505,0.02477075348198808,3.3496426566580513,-0.2258764275059963,1.6085429047964106,83.07317645228851,-2.125491479276516,32.524698836957064
47.63,0.009880505638053975,-0.009931549732100552,0.03785214004191013,3.3497079597353716,-0.2259163136442908,1.6088560192640302,83.1066732053705,-2.1277504429822685,32.540785831577374
47.64,-0.0016411294287034402,-0.021875175630087885,0.048697397847797336,3.349749156616418,-0.2260753472711017,1.6092887669534786,83.14017049095224,-2.130010401286845,32.55687655550846
47.65,-0.007180004997598228,-0.0003923456657875983,0.02455663988211101,3.3497050509442867,-0.22618668487758106,1.609655037142128,83.17366776199005,-2.132271711447588,32.57297127452893
47.66,-0.002323565293180356,-0.007239454134848331,0.03975629845665944,3.3496575330928327,-0.22622484387658423,1.609976601833822,83.20716457491022,-2.1345337690913584,32.58906943272381
47.67,0.0018420927241297401,-0.023070958638337344,0.04836688641518255,3.3496551257299876,-0.22637639594045023,1.6104172177581815,83.24066113820436,-2.1367967752904446,32.60517140182178
47.68,-0.008011072603032653,-0.00012076285478865404,0.029947763877475032,3.349624280830593,-0.22649235454791583,1.6108087910096447,83.27415753523715,-2.139061119042886,32.621277531865616
47.69,-0.0022020073301641297,-0.004823028566216492,0.02929261240385719,3.349573215430927,-0.22651707350502084,1.6111049928910512,83.30765352271845,-2.14132616618315,32.63738710078512
47.7,-0.002617731944726781,-0.017211120879441846,0.05828524003015115,3.3495491167345524,-0.2266272442522492,1.6115428821532216,83.3411491343793,-2.1435918877719375,32.65350034016035
47.71,-0.005156035211282911,-0.007312476144186401,0.03439850051439507,3.349510247898772,-0.22674986223736732,1.6120063008559442,83.37464443120246,-2.145858773304385,32.66961808607539
47.72,0.006505077012071335,0.0031289004423403536,0.030726756208593827,3.349516993107776,-0.22677078011587654,1.612331927139559,83.40813956740747,-2.1481263765161507,32.68573977721536
47.73,0.021778836783889817,-0.012663182060405008,0.054196182116996276,3.3496584126767557,-0.22681845152396685,1.6127565418311869,83.44163544443639,-2.1503943226743494,32.70186521956021
47.74,-0.007692673506980585,0.009398976299723198,0.03145690503322502,3.3497288434931405,-0.22683477255277026,1.6131848072669381,83.47513238071726,-2.152662588794734,32.717994926305714
47.75,0.01297029499773478,-0.0035468356869313897,0.039332830859838006,3.3497552316005943,-0.22680551184970632,1.6135387559464034,83.50862980109272,-2.154930790216746,32.73412854412178
47.76,0.0039033087390317935,-0.006031058044020758,0.04837770721855778,3.349839599619278,-0.22685340131836107,1.6139773086367952,83.54212777524882,-2.157199084782586,32.75026612444469
47.77,0.007316598709225343,-0.0038375610090906793,0.02592051987801116,3.3498956991565194,-0.22690274441362665,1.6143487997722783,83.5756264517427,-2.1594678655112474,32.766407754986744
47.78,0.0032653319727646273,-0.00868932455119763,0.0307313274843011,3.3499486088099295,-0.2269653788414281,1.61463205900909,83.60912567328253,-2.161737206127522,32.78255265928065
