SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.1500, 15, -0.00256457, -0.01461398, -0.99927056, 0.01619369, -0.02152463, -0.01542842, -50.51390076, -34.06569672, 44.41772842, 0.70355368, 0.20784362, 0.80453986, -0.99995494, 0.00612673, 0.00185680, 0.00700960, -0.00023212, 0.00048616, -0.00062632, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1600, 16, -0.00304908, -0.01429263, -1.00127292, 0.05037824, 0.04840301, 0.00245572, -50.51390076, -34.06569672, 44.41772842, 0.70403379, 0.20768563, 0.80459797, -0.99995488, 0.00613093, 0.00185546, 0.00701010, 0.00023372, 0.00014061, 0.00137875, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1700, 17, -0.00252785, -0.01383487, -1.00087619, 0.03238981, -0.03880060, -0.01575648, -51.34787369, -31.68550110, 44.61076355, 0.70394760, 0.20759831, 0.80442643, -0.99995494, 0.00613018, 0.00185468, 0.00700861, -0.00028588, -0.00030989, 0.00097775, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 18, -0.00289565, -0.01492532, -0.99893647, 0.01399625, -0.00390563, 0.01999284, -51.78298569, -31.96226692, 44.85643768, 0.70590514, 0.20747870, 0.80464095, -0.99995482, 0.00614727, 0.00185377, 0.00701046, 0.00009234, 0.00074791, -0.00095712, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1900, 19, -0.00256807, -0.01340484, -0.99834365, 0.01371188, 0.04772623, 0.03762742, -51.71046829, -31.40873337, 44.43527985, 0.70546943, 0.20813414, 0.80501997, -0.99995488, 0.00614342, 0.00185948, 0.00701374, -0.00022492, -0.00076577, -0.00155488, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2000, 20, -0.00248727, -0.01426784, -0.99734902, 0.01350749, -0.02167145, -0.03339911, -51.34787369, -33.62286758, 44.57566452, 0.70585835, 0.20805077, 0.80466843, -0.99995482, 0.00614682, 0.00185876, 0.00701067, -0.00029538, 0.00009597, -0.00254837, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2100, 21, -0.00253261, -0.01461497, -0.99914902, -0.04023855, 0.02990998, 0.00350626, -51.34787369, -33.62286758, 44.57566452, 0.70609158, 0.20894635, 0.80469483, -0.99995482, 0.00614880, 0.00186659, 0.00701085, -0.00025288, 0.00043698, -0.00074736, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2200, 22, -0.00240882, -0.01370930, -1.00111926, 0.06716087, -0.00464846, 0.03613037, -51.63794708, -34.56387711, 44.40018082, 0.70632023, 0.20976207, 0.80501455, -0.99995470, 0.00615074, 0.00187374, 0.00701359, -0.00036983, -0.00047659, 0.00122051, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2300, 23, -0.00214685, -0.01483874, -1.00070763, 0.01253600, 0.04665317, 0.05398871, -51.23909378, -32.46044922, 44.62830734, 0.70730430, 0.21141827, 0.80551505, -0.99995470, 0.00615922, 0.00188828, 0.00701785, -0.00061319, 0.00063973, 0.00080941, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2400, 24, -0.00263264, -0.01436668, -0.99966311, -0.02255852, -0.02331861, 0.00027650, -51.49291229, -32.29438782, 44.57566452, 0.70741189, 0.21168391, 0.80549979, -0.99995458, 0.00616014, 0.00189060, 0.00701770, -0.00010307, 0.00016598, -0.00023265, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2500, 25, -0.00328327, -0.01379417, -0.99962127, -0.02280777, 0.02949151, -0.01614182, -51.49291229, -32.23903656, 44.41772842, 0.70707703, 0.21086097, 0.80540180, -0.99995464, 0.00615727, 0.00188339, 0.00701690, 0.00054311, -0.00040774, -0.00027145, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2600, 26, -0.00310334, -0.01403050, -0.99728066, -0.00354901, -0.04060388, 0.05238312, -51.49291229, -32.23903656, 44.41772842, 0.70686758, 0.21037045, 0.80592096, -0.99995464, 0.00615547, 0.00187913, 0.00702146, 0.00036071, -0.00016441, -0.00261281, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2700, 27, -0.00307850, -0.01432566, -0.99816716, -0.02327711, 0.09854222, -0.01566522, -51.27535629, -31.24267197, 44.08430862, 0.70651376, 0.21139242, 0.80577296, -0.99995464, 0.00615232, 0.00188802, 0.00702012, 0.00033899, 0.00013497, -0.00172602, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2800, 28, -0.00205250, -0.01393594, -0.99954116, -0.02140641, -0.00705115, -0.01689147, -52.25436020, -31.13196564, 44.31243896, 0.70586634, 0.21274886, 0.80553073, -0.99995464, 0.00614659, 0.00189980, 0.00701794, -0.00068264, -0.00024145, -0.00035945, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2900, 29, -0.00254753, -0.01505193, -1.00107217, -0.02008400, -0.04201633, 0.05227952, -51.16657639, -31.24267197, 44.43527985, 0.70651466, 0.21282287, 0.80606526, -0.99995458, 0.00615223, 0.00190052, 0.00702259, -0.00017343, 0.00086648, 0.00117698, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3000, 30, -0.00196733, -0.01480209, -1.00113487, -0.05626500, 0.02813077, 0.00039048, -51.60168839, -30.63378525, 44.40018082, 0.70624459, 0.21373783, 0.80603969, -0.99995458, 0.00614982, 0.00190848, 0.00702232, -0.00075156, 0.00061217, 0.00123556, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3100, 31, -0.00297495, -0.01382271, -0.99953264, 0.01578758, -0.00634801, -0.01836476, -51.60168839, -30.63378525, 44.40018082, 0.70568407, 0.21314688, 0.80585384, -0.99995464, 0.00614497, 0.00190328, 0.00702074, 0.00026889, -0.00035224, -0.00036216, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3200, 32, -0.00377015, -0.01386353, -0.99925274, -0.02043071, 0.01063480, -0.01754243, -51.81924820, -31.40873337, 44.40018082, 0.70547527, 0.21183527, 0.80574638, -0.99995470, 0.00614323, 0.00189182, 0.00701988, 0.00104779, -0.00031313, -0.00063693, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3300, 33, -0.00356256, -0.01436773, -0.99749386, 0.05084014, 0.01125708, -0.01794126, -51.27535629, -31.63014984, 44.25979233, 0.70579600, 0.21144851, 0.80558068, -0.99995470, 0.00614606, 0.00188845, 0.00701845, 0.00083751, 0.00020081, -0.00239632, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3400, 34, -0.00307924, -0.01393308, -0.99782783, -0.03850158, 0.04469461, -0.01629854, -51.31161499, -31.46408844, 44.29489136, 0.70513147, 0.21159235, 0.80542988, -0.99995470, 0.00614025, 0.00188966, 0.00701713, 0.00035454, -0.00023159, -0.00206630, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3500, 35, -0.00280576, -0.01483178, -0.99905795, -0.03793425, 0.00982536, -0.03318183, -51.78298569, -33.06933212, 44.18959808, 0.70571959, 0.21175578, 0.80511457, -0.99995470, 0.00614538, 0.00189110, 0.00701436, 0.00006888, 0.00065795, -0.00083624, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3600, 36, -0.00253864, -0.01436773, -0.99948120, -0.01963273, 0.06047469, 0.03707174, -51.78298569, -33.06933212, 44.18959808, 0.70584351, 0.21268058, 0.80548930, -0.99995464, 0.00614640, 0.00189920, 0.00701758, -0.00017900, 0.00018693, -0.00041533, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3700, 37, -0.00331973, -0.01448185, -1.00090754, -0.03739079, 0.12866122, 0.03730821, -51.60168839, -31.40873337, 44.20714951, 0.70653164, 0.21350004, 0.80592263, -0.99995458, 0.00615234, 0.00190642, 0.00702131, 0.00060898, 0.00028746, 0.00101637, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3800, 38, -0.00293237, -0.01473867, -0.99932998, -0.01828171, 0.00550034, -0.03421489, -50.76771927, -34.01034546, 44.20714951, 0.70742452, 0.21329424, 0.80560863, -0.99995458, 0.00616015, 0.00190466, 0.00701857, 0.00022937, 0.00054142, -0.00056310, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3900, 39, -0.00320703, -0.01411004, -0.99849868, -0.01735591, -0.02926074, 0.00058581, -51.89176178, -31.68550110, 44.24224472, 0.70632249, 0.21172900, 0.80567557, -0.99995464, 0.00615063, 0.00189094, 0.00701925, 0.00048533, -0.00007466, -0.00139399, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4000, 40, -0.00280778, -0.01437764, -0.99877882, -0.01746001, 0.02244166, 0.01808392, -51.38413620, -31.40873337, 44.57566452, 0.70613086, 0.21170546, 0.80587661, -0.99995464, 0.00614896, 0.00189073, 0.00702101, 0.00008306, 0.00019194, -0.00111593, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4100, 41, -0.00222658, -0.01433979, -0.99896574, -0.01697759, 0.03960458, 0.03569044, -51.38413620, -31.40873337, 44.57566452, 0.70559800, 0.21321657, 0.80616838, -0.99995464, 0.00614421, 0.00190390, 0.00702348, -0.00048984, 0.00015506, -0.00093288, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4200, 42, -0.00268799, -0.01470494, -0.99942285, -0.03465360, 0.00451220, -0.03466715, -51.20283508, -31.68550110, 44.38263321, 0.70654356, 0.21318768, 0.80584550, -0.99995464, 0.00615247, 0.00190369, 0.00702065, -0.00001876, 0.00051381, -0.00047196, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4300, 43, -0.00294188, -0.01439749, -0.99990469, 0.00161296, 0.05632982, 0.01835625, -52.07305908, -31.85156059, 44.31243896, 0.70709193, 0.21350461, 0.80604321, -0.99995458, 0.00615723, 0.00190650, 0.00702235, 0.00023175, 0.00020815, 0.00001083, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4400, 44, -0.00273763, -0.01326946, -0.99977201, -0.05129357, -0.01346313, -0.03416751, -51.52917099, -31.02125931, 44.20714951, 0.70462900, 0.21321398, 0.80567473, -0.99995470, 0.00613576, 0.00190379, 0.00701919, 0.00002881, -0.00090814, -0.00012535, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4500, 45, -0.00245229, -0.01396920, -0.99962974, 0.03795256, 0.00421117, 0.00030830, -51.27535629, -32.62651062, 44.48792267, 0.70479131, 0.21410836, 0.80562931, -0.99995470, 0.00613712, 0.00191160, 0.00701874, -0.00024543, -0.00019416, -0.00026824, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4600, 46, -0.00244701, -0.01379371, -0.99892747, -0.01489932, -0.03129778, 0.03486728, -51.27535629, -32.62651062, 44.48792267, 0.70414656, 0.21398471, 0.80596209, -0.99995470, 0.00613150, 0.00191050, 0.00702167, -0.00024327, -0.00035558, -0.00097103, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4700, 47, -0.00317320, -0.01408278, -0.99816370, -0.03286499, -0.03022974, -0.01755672, -51.20283508, -31.24267197, 44.47037506, 0.70391411, 0.21332115, 0.80579692, -0.99995476, 0.00612952, 0.00190469, 0.00702026, 0.00047771, -0.00006079, -0.00172970, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4800, 48, -0.00328383, -0.01403473, -0.99992836, 0.00327436, -0.01233976, 0.00024549, -51.78298569, -32.51580429, 44.45282364, 0.70411688, 0.21218425, 0.80583823, -0.99995482, 0.00613136, 0.00189478, 0.00702068, 0.00056089, -0.00010684, 0.00003546, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4900, 49, -0.00288134, -0.01463715, -1.00024283, 0.03961144, -0.11545081, -0.00153491, -51.81924820, -30.63378525, 44.47037506, 0.70520365, 0.21080339, 0.80582142, -0.99995476, 0.00614092, 0.00188280, 0.00702059, 0.00013562, 0.00047748, 0.00034853, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5000, 50, -0.00273228, -0.01435991, -1.00039315, -0.01470884, -0.02696484, 0.01723701, -51.92802811, -32.23903656, 44.57566452, 0.70507520, 0.21042714, 0.80599648, -0.99995476, 0.00613982, 0.00187952, 0.00702214, -0.00003077, 0.00019913, 0.00049736, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5100, 51, -0.00302353, -0.01480079, -0.99929947, -0.03182368, -0.02740660, 0.03475644, -51.92802811, -32.23903656, 44.57566452, 0.70587331, 0.21007250, 0.80634421, -0.99995464, 0.00614680, 0.00187649, 0.00702518, 0.00026683, 0.00063068, -0.00059345, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5200, 52, -0.00294174, -0.01277007, -0.99818146, -0.06853726, 0.07716648, -0.01617987, -51.63794708, -32.29438782, 44.52302170, 0.70408565, 0.21067449, 0.80619085, -0.99995476, 0.00613117, 0.00188163, 0.00702384, 0.00019415, -0.00138493, -0.00171591, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5300, 53, -0.00264412, -0.01468787, -0.99811363, -0.01324481, 0.00671189, -0.01742510, -51.42039108, -34.50852585, 44.32999039, 0.70455086, 0.21108122, 0.80600637, -0.99995470, 0.00613521, 0.00188519, 0.00702220, -0.00009287, 0.00054232, -0.00178206, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5400, 54, -0.00306622, -0.01352304, -0.99913269, -0.01279284, -0.01053160, -0.00014439, -51.49291229, -33.95499039, 44.38263321, 0.70311457, 0.21027897, 0.80602944, -0.99995482, 0.00612272, 0.00187811, 0.00702247, 0.00031650, -0.00061131, -0.00076273, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5500, 55, -0.00261050, -0.01402617, -1.00014687, -0.01229719, 0.04077744, 0.05286574, -51.67420959, -34.72993851, 44.40018082, 0.70279616, 0.21107958, 0.80654269, -0.99995482, 0.00611989, 0.00188510, 0.00702691, -0.00013881, -0.00009879, 0.00024921, 0.00000000, 0.00000000, 0.00000000, 0.00000000
