SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 5.7000, 570, -0.00293364, -0.01365235, -0.99831307, 0.00501725, 0.04852902, 0.02299030, -50.73146439, -32.01762009, 44.11940765, 0.69710994, 0.20561372, 0.80331218, -0.99995542, 0.00607065, 0.00183688, 0.00699911, 0.00010101, -0.00038071, -0.00158449, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.7100, 571, -0.00241080, -0.01334692, -0.99791801, -0.06496492, -0.00464635, 0.00584880, -51.05779648, -31.35338211, 43.89128113, 0.69594669, 0.20588714, 0.80334926, -0.99995548, 0.00606049, 0.00183920, 0.00699943, -0.00041507, -0.00065945, -0.00198381, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.7200, 572, -0.00312743, -0.01313200, -0.99870163, 0.02369739, 0.01369878, -0.01240399, -50.73146439, -33.56751633, 43.82108307, 0.69426751, 0.20524900, 0.80318856, -0.99995559, 0.00604588, 0.00183352, 0.00699809, 0.00028964, -0.00085327, -0.00119628, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.7300, 573, -0.00201556, -0.01382142, -0.99880940, 0.05926617, 0.04762187, 0.05701473, -51.31161499, -31.74085426, 44.50547409, 0.69464701, 0.20689048, 0.80379015, -0.99995553, 0.00604908, 0.00184790, 0.00700325, -0.00081142, -0.00015734, -0.00109436, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.7400, 574, -0.00301598, -0.01287820, -0.99955231, 0.04092155, -0.00543732, 0.09000390, -51.31161499, -31.74085426, 44.50547409, 0.69361371, 0.20672771, 0.80466157, -0.99995548, 0.00604006, 0.00184646, 0.00701088, 0.00018878, -0.00109839, -0.00034686, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.7500, 575, -0.00239343, -0.01381533, -0.99971986, 0.03934415, 0.01225078, 0.00184904, -50.26008606, -32.40509796, 44.50547409, 0.69358605, 0.20734932, 0.80469948, -0.99995542, 0.00603977, 0.00185189, 0.00701118, -0.00041837, -0.00014725, -0.00018171, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.7600, 576, -0.00269776, -0.01348944, -0.99910486, 0.02121766, 0.01176193, 0.03639099, -50.84024048, -33.06933212, 43.94392395, 0.69304717, 0.20707780, 0.80501097, -0.99995548, 0.00603508, 0.00184950, 0.00701392, -0.00010498, -0.00046684, -0.00079542, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.7700, 577, -0.00368060, -0.01367923, -0.99931234, -0.01427485, -0.04039865, 0.01822390, -50.44138336, -32.68186569, 44.01411438, 0.69213891, 0.20477620, 0.80509102, -0.99995553, 0.00602730, 0.00182937, 0.00701475, 0.00084501, -0.00027310, -0.00058137, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.7800, 578, -0.00306354, -0.01409842, -0.99947411, -0.01400510, -0.02231378, 0.00110226, -51.56543350, -33.40145493, 43.75089264, 0.69225192, 0.20417185, 0.80508757, -0.99995553, 0.00602832, 0.00182410, 0.00701475, 0.00020989, 0.00015427, -0.00042304, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.7900, 579, -0.00294436, -0.01346064, -0.99916345, 0.02115802, 0.02982658, 0.03592919, -51.56543350, -33.40145493, 43.75089264, 0.69158977, 0.20446540, 0.80546039, -0.99995553, 0.00602252, 0.00182664, 0.00701800, 0.00008405, -0.00046969, -0.00073574, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.8000, 580, -0.00337387, -0.01361573, -0.99928355, 0.00323055, -0.03904327, -0.05234484, -50.69519806, -31.07661438, 43.69824600, 0.69131088, 0.20344356, 0.80489022, -0.99995571, 0.00602016, 0.00181768, 0.00701308, 0.00050097, -0.00030947, -0.00061270, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.8100, 581, -0.00297356, -0.01427622, -0.99987262, 0.00287467, -0.02129916, -0.05109617, -50.76771927, -31.96226692, 44.11940765, 0.69248241, 0.20243216, 0.80432606, -0.99995559, 0.00603045, 0.00180889, 0.00700819, 0.00008011, 0.00033825, -0.00002493, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.8200, 582, -0.00261372, -0.01375164, -1.00017416, -0.03237262, -0.02092803, -0.01433113, -50.62268448, -31.74085426, 44.24224472, 0.69182575, 0.20271373, 0.80419344, -0.99995565, 0.00602471, 0.00181130, 0.00700703, -0.00028869, -0.00019332, 0.00027337, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.8300, 583, -0.00235968, -0.01351674, -0.99910784, 0.07457382, -0.03741671, 0.01824909, -51.45664978, -32.12833023, 44.36508179, 0.69147706, 0.20296220, 0.80440599, -0.99995565, 0.00602165, 0.00181346, 0.00700888, -0.00052237, -0.00041850, -0.00079508, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.8400, 584, -0.00269896, -0.01366906, -0.99941128, 0.02030651, -0.05414286, -0.01589835, -51.45664978, -32.12833023, 44.36508179, 0.69114983, 0.20384702, 0.80432194, -0.99995565, 0.00601874, 0.00182116, 0.00700811, -0.00018454, -0.00025011, -0.00048935, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.8500, 585, -0.00354711, -0.01474379, -0.99938607, 0.05326381, 0.05141456, -0.08398358, -50.36886978, -31.79620743, 44.31243896, 0.69339973, 0.20306711, 0.80342311, -0.99995559, 0.00603843, 0.00181444, 0.00700027, 0.00067029, 0.00080863, -0.00050687, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.8600, 586, -0.00285341, -0.01372984, -0.99956304, 0.03655759, -0.00286718, 0.07334852, -51.38413620, -31.79620743, 44.27733994, 0.69330704, 0.20291939, 0.80415636, -0.99995559, 0.00603762, 0.00181319, 0.00700668, -0.00003076, -0.00022897, -0.00033600, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.8700, 587, -0.00284695, -0.01436934, -0.99960059, 0.05263119, 0.01503746, 0.00202644, -50.58642197, -32.68186569, 44.01411438, 0.69456792, 0.20340566, 0.80419230, -0.99995553, 0.00604859, 0.00181751, 0.00700694, -0.00003837, 0.00039586, -0.00029709, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.8800, 588, -0.00286936, -0.01486028, -0.99930137, 0.03510606, -0.07160915, 0.01862612, -51.34787369, -33.12468719, 44.15450668, 0.69622076, 0.20261252, 0.80437833, -0.99995542, 0.00606306, 0.00181070, 0.00700858, -0.00001661, 0.00085630, -0.00059493, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.8900, 589, -0.00284419, -0.01416116, -0.99911112, -0.00271578, 0.01632003, -0.04961102, -51.34787369, -33.12468719, 44.15450668, 0.69665235, 0.20301898, 0.80390006, -0.99995542, 0.00606681, 0.00181425, 0.00700438, -0.00003862, 0.00014340, -0.00078651, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.9000, 590, -0.00330370, -0.01356377, -0.99837005, 0.01590130, 0.03276072, 0.03820882, -50.65894318, -31.90691566, 43.87372971, 0.69635707, 0.20281136, 0.80426365, -0.99995542, 0.00606424, 0.00181243, 0.00700757, 0.00042216, -0.00044625, -0.00152573, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.9100, 591, -0.00210460, -0.01361442, -0.99828875, -0.01875175, -0.03712622, 0.01943941, -51.34787369, -32.12833023, 44.06675720, 0.69565964, 0.20326650, 0.80448037, -0.99995542, 0.00605812, 0.00181638, 0.00700945, -0.00077142, -0.00038409, -0.00161478, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.9200, 592, -0.00312780, -0.01400569, -0.99965525, -0.00101684, -0.01930261, 0.05430015, -50.80398178, -32.18368149, 44.20714951, 0.69598013, 0.20282173, 0.80502462, -0.99995542, 0.00606094, 0.00181254, 0.00701421, 0.00024870, 0.00000129, -0.00024096, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.9300, 593, -0.00310714, -0.01291017, -0.99949104, 0.01373738, 0.13773793, -0.04922156, -50.80398178, -32.18368149, 44.20714951, 0.69467676, 0.20381890, 0.80451953, -0.99995548, 0.00604951, 0.00182114, 0.00700977, 0.00022986, -0.00108613, -0.00040741, 0.00000000, 0.00000000, 0.00000000, 0.00000000
